#DATA_BASE,DOCUMENTO,CNPJ,AGENCIA,NOME_INSTITUICAO,COD_CONGL,NOME_CONGL,TAXONOMIA,CONTA,NOME_CONTA,SALDO,URL,URL_Documentos
202310,4010,7206072,,COOP SICREDI NOVOS HORIZONTES,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2193416755,23",https://www.sicredi.com.br/media/produtos/filer_public/2023/03/22/sicredi_novos_horizontes_pr_sp_122022.pdf,https://www.sicredi.com.br/media/produtos/filer_public/2023/03/22/sicredi_novos_horizontes_pr_sp_122022.pdfdocumentos-e-relatorios/
202310,4010,8041950,,COOP SICREDI COOPERJURIS,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"73166774,04",https://www.sicredi.com.br/coop/cooperjuris/,https://www.sicredi.com.br/coop/cooperjuris/documentos-e-relatorios/
202310,4010,8143326,,COOP SICREDI SÃO LUÍS,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"47547395,63",https://www.sicredi.com.br/coop/saoluis/,https://www.sicredi.com.br/coop/saoluis/documentos-e-relatorios/
202310,4010,9343038,,COOP SICREDI ALTSERTÃO PARAIBANO,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"187771966,71",https://www.sicredi.com.br/coop/altosertaoparaibano/,https://www.sicredi.com.br/coop/altosertaoparaibano/documentos-e-relatorios/
202310,4010,10348181,,COOP SICREDI VALE LITORAL SC,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"3155808555,14",https://www.sicredi.com.br/coop/valelitoralsc/,https://www.sicredi.com.br/coop/valelitoralsc/documentos-e-relatorios/
202310,4010,10736214,,COOP SICREDI PLAN CENTRAL,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2879690796,45",https://www.sicredi.com.br/coop/planaltocentral/,https://www.sicredi.com.br/coop/planaltocentral/documentos-e-relatorios/
202310,4010,19962468,,COOP SICREDI COOABCRED RS,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"55134262,47",https://www.sicredi.com.br/coop/cooabcred/,https://www.sicredi.com.br/coop/cooabcred/documentos-e-relatorios/
202310,4010,24654881,,COOP SICREDI UNIÃO MS/TO,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"5791190065,82",https://www.sicredi.com.br/promocao/sortegrande/,https://www.sicredi.com.br/promocao/sortegrande/documentos-e-relatorios/
202310,4010,25626490,,COOP SICREDI CREDIGRANDE,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"115973991,80",https://www.sicredi.com.br/coop/credigrande/,https://www.sicredi.com.br/coop/credigrande/documentos-e-relatorios/
202310,4010,26191078,,COOP SICREDI SUL DO MARANHÃO,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"39734821,59",https://www.sicredi.com.br/coop/suldomaranhao/,https://www.sicredi.com.br/coop/suldomaranhao/documentos-e-relatorios/
202310,4010,26408161,,COOP SICREDI CENTRO-SUL MS/BA,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"5699257969,32",https://www.sicredi.com.br/coop/centro-sul-ms/,https://www.sicredi.com.br/coop/centro-sul-ms/documentos-e-relatorios/
202310,4010,26408187,,COOP SICREDI PANTANAL,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2071109992,22",https://www.sicredi.com.br/coop/pantanalms/,https://www.sicredi.com.br/coop/pantanalms/documentos-e-relatorios/
202310,4010,26529420,,COOP SICREDI OURO VERDE MT,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"10072957501,83",https://www.sicredi.com.br/coop/ouroverdemt/,https://www.sicredi.com.br/coop/ouroverdemt/documentos-e-relatorios/
202310,4010,26549311,,COOP SICREDI INTEGRAÇÃO MT/AP/PA,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2189038304,16",https://www.sicredi.com.br/coop/integracaomtappa/,https://www.sicredi.com.br/coop/integracaomtappa/documentos-e-relatorios/
202310,4010,26555235,,COOP SICREDI CELEIRO DO MT,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"5661615694,03",https://www.sicredi.com.br/coop/celeiro-mtrr/,https://www.sicredi.com.br/coop/celeiro-mtrr/documentos-e-relatorios/
202310,4010,32983165,,COOP SICREDI VL DO CERRADO,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"4001832905,93",https://www.sicredi.com.br/coop/valedocerrado/,https://www.sicredi.com.br/coop/valedocerrado/documentos-e-relatorios/
